0,79,54,81
1,80,54,77
2,79,55,79
3,80,55,80
4,80,55,79
5,82,55,87
6,82,55,88
7,82,55,87
8,83,55,86
9,81,55,89
10,83,55,86
11,82,55,87
12,82,55,86
13,82,54,86
14,82,55,87
15,82,55,86
16,82,55,86
17,82,55,86
18,82,54,87
19,81,55,87
20,82,55,86
21,81,55,84
22,82,54,85
23,82,55,87
24,82,55,86
25,82,55,87
26,82,54,86
27,82,55,86
28,82,55,86
29,82,55,86
30,82,55,87
31,82,55,86
32,83,54,87
33,82,55,86
34,82,54,87
35,83,55,87
36,83,55,86
37,82,54,87
38,83,55,86
39,82,55,87
40,83,55,86
41,83,54,86
42,82,55,87
43,83,55,87
44,82,56,86
45,83,56,87
46,83,56,86
47,82,57,87
48,83,56,87
49,82,56,86
50,82,56,88
51,82,54,89
52,81,54,88
53,82,55,89
54,83,55,89
55,82,55,90
56,82,55,89
57,82,55,89
58,83,55,89
59,82,55,90
60,82,55,89
61,82,55,89
62,82,55,90
63,82,55,89
64,82,55,88
65,82,55,90
66,82,55,90
67,83,56,89
68,82,54,90
69,82,56,89
70,82,56,87
71,83,57,90
72,81,56,86
73,83,56,84
74,82,56,79
75,82,56,78
76,82,57,80
77,83,56,83
78,82,57,88
79,82,56,88
80,82,56,87
81,82,55,88
82,82,55,88
83,83,55,87
84,82,55,88
85,82,55,89
86,82,54,89
87,82,55,90
88,82,55,82
89,82,55,89
90,82,55,89
91,82,54,89
92,83,55,89
93,81,55,89
94,82,55,91
95,83,55,91
96,82,55,89
97,81,55,90
98,83,54,89
99,82,55,90
100,82,55,89
101,81,55,89
102,82,55,88
103,82,55,89
104,82,54,89
105,82,55,89
106,82,55,87
107,82,55,88
108,81,55,87
109,82,55,88
110,81,54,88
111,82,55,88
112,81,54,87
113,81,55,87
114,82,54,
115,81,55,
116,82,54,
117,82,55,
118,82,55,
119,81,54,
120,82,55,
121,,54,
122,,55,
123,,55,
124,,55,
125,,55,
126,,54,
127,,55,
128,,55,
129,,55,
130,,55,
131,,55,
132,,55,
133,,55,
134,,54,
135,,55,
136,,55,
137,,54,
138,,54,
139,,55,
140,,54,
141,,54,
142,,55,
143,,55,
144,,54,
145,,55,
146,,54,
147,,55,
148,,54,
149,,55,
150,,55,
151,,54,
152,,55,
153,,55,
154,,54,
155,,55,
156,,55,
157,,54,
158,,55,
159,,54,
160,,55,
161,,54,
162,,55,
163,,55,
164,,54,
165,,55,
166,,54,
167,,54,
168,,55,
169,,54,
170,,55,
171,,54,
172,,54,
173,,55,
174,,54,
175,,55,
176,,55,
177,,54,
178,,55,
179,,54,
180,,55,
